"name","url","address","fee","LocName","fX","fY","iConf","iLvl"
プラクティカル駒込,https://www.homes.co.jp/chintai/room/1b48053223c0caf0d2b6e71ce3d102372cd6e668/,東京都文京区本駒込5丁目,17.4,"東京都/文京区/本駒込/五丁目","139.75165","35.73280","5","6"
仮称　白山1丁目メゾン,https://www.homes.co.jp/chintai/room/633066a0cd38f1b239f1a2a061c5ca6d6bb31505/,東京都文京区白山1丁目14-,9.9,"東京都/文京区/白山/一丁目/１４番","139.75227","35.71708","5","7"
ブライトユー,https://www.homes.co.jp/chintai/room/38213d862e9d4acc9654322908b682ed6b6f35cf/,東京都文京区本駒込5丁目,8.9,"東京都/文京区/本駒込/五丁目","139.75165","35.73280","5","6"
都営三田線 白山駅 徒歩5分,https://www.homes.co.jp/chintai/room/0ae127fce6cc2ad5986d9f5b11e33aee3eabfb41/,東京都文京区白山1丁目14-,9.9,"東京都/文京区/白山/一丁目/１４番","139.75227","35.71708","5","7"
東京メトロ南北線 駒込駅 徒歩6分,https://www.homes.co.jp/chintai/room/2a4372296e3d56caa788685dee84c2864ab5b54b/,東京都文京区本駒込5丁目,8.9,"東京都/文京区/本駒込/五丁目","139.75165","35.73280","5","6"
ウェルスクエアイズム文京千石,https://www.homes.co.jp/chintai/room/a9c4c1cd84073f49e2655ecddb2fe4886944153a/,東京都文京区千石3丁目,9.1,"東京都/文京区/千石/三丁目","139.73820","35.72620","5","6"
Grand chariot,https://www.homes.co.jp/chintai/room/abe64c46a93f6406b8d71ef638663b96f239b4e3/,東京都文京区根津1丁目23-16,10.5,"東京都/文京区/根津/一丁目/２３番","139.76266","35.72010","5","7"
PASEO白山I,https://www.homes.co.jp/chintai/room/a4da1c00ca4f2a47e655de6357a45ebd5d6413c7/,東京都文京区白山2丁目,19.5,"東京都/文京区/白山/二丁目","139.74832","35.71738","5","6"
東京メトロ千代田線 根津駅 徒歩4分,https://www.homes.co.jp/chintai/room/a91c97baa6548a61414d1554980d02315aff92e8/,東京都文京区根津1丁目,10.5,"東京都/文京区/根津/一丁目","139.76285","35.71881","5","6"
都営三田線 千石駅 徒歩8分,https://www.homes.co.jp/chintai/room/3fa83d52a39bafdbca6fc0f566ca44579d31b3e7/,東京都文京区千石3丁目,9.1,"東京都/文京区/千石/三丁目","139.73820","35.72620","5","6"
